"submit_team";"image_url"
"2010_Freiburg_Bioware";"static/image/image/2010/Freiburg_Bioware_03.png"
"2010_Freiburg_Bioware";"static/image/image/2010/Freiburg_Bioware_04.png"
"2010_Freiburg_Bioware";"static/image/image/2010/Freiburg_Bioware_05.png"
"2010_GeorgiaTech";"static/image/image/2010/GeorgiaTech_01.png"
"2010_GeorgiaTech";"static/image/image/2010/GeorgiaTech_02.png"
"2010_GeorgiaTech";"static/image/image/2010/GeorgiaTech_03.png"
"2010_GeorgiaTech";"static/image/image/2010/GeorgiaTech_04.png"
"2010_GeorgiaTech";"static/image/image/2010/GeorgiaTech_05.png"
"2010_Georgia_State";"static/image/image/2010/Georgia_State_01.png"
"2010_Georgia_State";"static/image/image/2010/Georgia_State_02.png"
"2010_Georgia_State";"static/image/image/2010/Georgia_State_03.png"
"2010_Georgia_State";"static/image/image/2010/Georgia_State_04.png"
"2010_Georgia_State";"static/image/image/2010/Georgia_State_05.png"
"2010_Groningen";"static/image/image/2010/Groningen_01.png"
"2010_Groningen";"static/image/image/2010/Groningen_02.png"
"2010_Groningen";"static/image/image/2010/Groningen_03.png"
"2010_Groningen";"static/image/image/2010/Groningen_04.png"
"2010_Groningen";"static/image/image/2010/Groningen_05.png"
"2010_Harvard";"static/image/image/2010/Harvard_01.png"
"2010_Harvard";"static/image/image/2010/Harvard_02.png"
"2010_Harvard";"static/image/image/2010/Harvard_03.png"
"2010_Harvard";"static/image/image/2010/Harvard_04.png"
"2010_Harvard";"static/image/image/2010/Harvard_05.png"
"2010_Heidelberg";"static/image/image/2010/Heidelberg_01.png"
"2010_Heidelberg";"static/image/image/2010/Heidelberg_02.png"
"2010_Heidelberg";"static/image/image/2010/Heidelberg_03.png"
"2010_Heidelberg";"static/image/image/2010/Heidelberg_04.png"
"2010_Heidelberg";"static/image/image/2010/Heidelberg_05.png"
"2010_HKUST";"static/image/image/2010/HKUST_01.png"
"2010_HKUST";"static/image/image/2010/HKUST_02.png"
"2010_HKUST";"static/image/image/2010/HKUST_03.png"
"2010_HKUST";"static/image/image/2010/HKUST_04.png"
"2010_HKUST";"static/image/image/2010/HKUST_05.png"
"2010_Hong_Kong-CUHK";"static/image/image/2010/Hong_Kong-CUHK_01.png"
"2010_Hong_Kong-CUHK";"static/image/image/2010/Hong_Kong-CUHK_02.png"
"2010_Hong_Kong-CUHK";"static/image/image/2010/Hong_Kong-CUHK_03.png"
"2010_Imperial College London";"static/image/image/2010/Imperial College London_01.png"
"2010_Imperial College London";"static/image/image/2010/Imperial College London_02.png"
"2010_Imperial College London";"static/image/image/2010/Imperial College London_03.png"
"2010_Imperial College London";"static/image/image/2010/Imperial College London_04.png"
"2010_Imperial College London";"static/image/image/2010/Imperial College London_05.png"
"2010_Imperial_College_London";"static/image/image/2010/Imperial_College_London_01.png"
"2010_Imperial_College_London";"static/image/image/2010/Imperial_College_London_02.png"
"2010_Imperial_College_London";"static/image/image/2010/Imperial_College_London_03.png"
"2010_Imperial_College_London";"static/image/image/2010/Imperial_College_London_04.png"
"2010_Imperial_College_London";"static/image/image/2010/Imperial_College_London_05.png"
"2010_INSA-Lyon";"static/image/image/2010/INSA-Lyon_01.png"
"2010_INSA-Lyon";"static/image/image/2010/INSA-Lyon_02.png"
"2010_INSA-Lyon";"static/image/image/2010/INSA-Lyon_03.png"
"2010_INSA-Lyon";"static/image/image/2010/INSA-Lyon_04.png"
"2010_INSA-Lyon";"static/image/image/2010/INSA-Lyon_05.png"
"2010_IvyTech-South_Bend";"static/image/image/2010/IvyTech-South_Bend_01.png"
"2010_IvyTech-South_Bend";"static/image/image/2010/IvyTech-South_Bend_02.png"
"2010_Johns_Hopkins";"static/image/image/2010/Johns_Hopkins_01.png"
"2010_Johns_Hopkins";"static/image/image/2010/Johns_Hopkins_02.png"
"2010_Johns_Hopkins";"static/image/image/2010/Johns_Hopkins_03.png"
"2010_Johns_Hopkins";"static/image/image/2010/Johns_Hopkins_04.png"
"2010_Johns_Hopkins";"static/image/image/2010/Johns_Hopkins_05.png"
"2010_Kyoto";"static/image/image/2010/Kyoto_01.png"
"2010_Kyoto";"static/image/image/2010/Kyoto_02.png"
"2010_Kyoto";"static/image/image/2010/Kyoto_03.png"
"2010_Kyoto";"static/image/image/2010/Kyoto_04.png"
"2010_Kyoto";"static/image/image/2010/Kyoto_05.png"
"2010_LMU-Munich";"static/image/image/2010/LMU-Munich_01.png"
"2010_LMU-Munich";"static/image/image/2010/LMU-Munich_02.png"
"2010_LMU-Munich";"static/image/image/2010/LMU-Munich_03.png"
"2010_LMU-Munich";"static/image/image/2010/LMU-Munich_04.png"
"2010_LMU-Munich";"static/image/image/2010/LMU-Munich_05.png"
"2010_METU_Turkey";"static/image/image/2010/METU_Turkey_01.png"
"2010_METU_Turkey";"static/image/image/2010/METU_Turkey_02.png"
"2010_METU_Turkey";"static/image/image/2010/METU_Turkey_03.png"
"2010_METU_Turkey";"static/image/image/2010/METU_Turkey_04.png"
"2010_METU_Turkey";"static/image/image/2010/METU_Turkey_05.png"
"2010_Michigan";"static/image/image/2010/Michigan_01.png"
"2010_Michigan";"static/image/image/2010/Michigan_02.png"
"2010_Michigan";"static/image/image/2010/Michigan_03.png"
"2010_Michigan";"static/image/image/2010/Michigan_04.png"
"2010_Michigan";"static/image/image/2010/Michigan_05.png"
"2010_Minnesota";"static/image/image/2010/Minnesota_01.png"
"2010_Minnesota";"static/image/image/2010/Minnesota_02.png"
"2010_Minnesota";"static/image/image/2010/Minnesota_03.png"
"2010_Minnesota";"static/image/image/2010/Minnesota_04.png"
"2010_Minnesota";"static/image/image/2010/Minnesota_05.png"
"2010_Missouri_Miners";"static/image/image/2010/Missouri_Miners_01.png"
"2010_MIT";"static/image/image/2010/MIT_01.png"
"2010_MIT";"static/image/image/2010/MIT_02.png"
"2010_MIT";"static/image/image/2010/MIT_03.png"
"2010_MIT";"static/image/image/2010/MIT_04.png"
"2010_MIT";"static/image/image/2010/MIT_05.png"
"2010_Monash_Australia";"static/image/image/2010/Monash_Australia_01.png"
"2010_Monash_Australia";"static/image/image/2010/Monash_Australia_02.png"
"2010_Monash_Australia";"static/image/image/2010/Monash_Australia_03.png"
"2010_Monash_Australia";"static/image/image/2010/Monash_Australia_04.png"
"2010_Monash_Australia";"static/image/image/2010/Monash_Australia_05.png"
"2010_NCTU_Formosa";"static/image/image/2010/NCTU_Formosa_01.png"
"2010_NCTU_Formosa";"static/image/image/2010/NCTU_Formosa_02.png"
"2010_NCTU_Formosa";"static/image/image/2010/NCTU_Formosa_03.png"
"2010_NCTU_Formosa";"static/image/image/2010/NCTU_Formosa_04.png"
"2010_NCTU_Formosa";"static/image/image/2010/NCTU_Formosa_05.png"
"2010_Nevada";"static/image/image/2010/Nevada_01.png"
"2010_Nevada";"static/image/image/2010/Nevada_02.png"
"2010_Nevada";"static/image/image/2010/Nevada_03.png"
"2010_Nevada";"static/image/image/2010/Nevada_04.png"
"2010_Newcastle";"static/image/image/2010/Newcastle_01.png"
"2010_Newcastle";"static/image/image/2010/Newcastle_02.png"
"2010_Newcastle";"static/image/image/2010/Newcastle_03.png"
"2010_Newcastle";"static/image/image/2010/Newcastle_04.png"
"2010_Newcastle";"static/image/image/2010/Newcastle_05.png"
"2010_Northwestern";"static/image/image/2010/Northwestern_01.png"
"2010_Northwestern";"static/image/image/2010/Northwestern_02.png"
"2010_Northwestern";"static/image/image/2010/Northwestern_03.png"
"2010_NYMU-Taipei";"static/image/image/2010/NYMU-Taipei_01.png"
"2010_NYMU-Taipei";"static/image/image/2010/NYMU-Taipei_02.png"
"2010_NYMU-Taipei";"static/image/image/2010/NYMU-Taipei_03.png"
"2010_NYMU-Taipei";"static/image/image/2010/NYMU-Taipei_04.png"
"2010_NYMU-Taipei";"static/image/image/2010/NYMU-Taipei_05.png"
"2010_NYU";"static/image/image/2010/NYU_01.png"
"2010_NYU";"static/image/image/2010/NYU_02.png"
"2010_NYU";"static/image/image/2010/NYU_03.png"
"2010_NYU";"static/image/image/2010/NYU_04.png"
"2010_NYU";"static/image/image/2010/NYU_05.png"
"2010_Osaka";"static/image/image/2010/Osaka_01.png"
"2010_Osaka";"static/image/image/2010/Osaka_02.png"
"2010_Osaka";"static/image/image/2010/Osaka_03.png"
"2010_Osaka";"static/image/image/2010/Osaka_04.png"
"2010_Osaka";"static/image/image/2010/Osaka_05.png"
"2010_Panama";"static/image/image/2010/Panama_01.png"
"2010_Panama";"static/image/image/2010/Panama_02.png"
"2010_Peking";"static/image/image/2010/Peking_01.png"
"2010_Peking";"static/image/image/2010/Peking_02.png"
"2010_Peking";"static/image/image/2010/Peking_03.png"
"2010_Peking";"static/image/image/2010/Peking_04.png"
"2010_Peking";"static/image/image/2010/Peking_05.png"
"2010_Penn_State";"static/image/image/2010/Penn_State_01.png"
"2010_Penn_State";"static/image/image/2010/Penn_State_02.png"
"2010_Penn_State";"static/image/image/2010/Penn_State_03.png"
